sequence,file,group,title,part,characters,words
1,dist/audiobook/chunks/001-introduction-introduction-part-01.txt,Introduction,Introduction,1,504,67
2,dist/audiobook/chunks/002-start-here-handbook-and-workspace-home-part-01.txt,Start Here,Handbook And Workspace Home,1,3690,490
3,dist/audiobook/chunks/003-start-here-how-to-use-the-handbook-part-01.txt,Start Here,How To Use The Handbook,1,4112,559
4,dist/audiobook/chunks/004-start-here-treasurer-and-finance-chair-quick-start-part-01.txt,Start Here,Treasurer And Finance Chair Quick Start,1,3736,501
5,dist/audiobook/chunks/005-start-here-handbook-and-workspace-stewardship-part-01.txt,Start Here,Handbook And Workspace Stewardship,1,4327,575
6,dist/audiobook/chunks/006-start-here-handbook-and-workspace-stewardship-part-02.txt,Start Here,Handbook And Workspace Stewardship,2,1594,219
7,dist/audiobook/chunks/007-handbook-governance-constitution-and-bylaws-reference-part-01.txt,Handbook - Governance,Constitution and Bylaws Reference,1,4132,525
8,dist/audiobook/chunks/008-handbook-governance-constitution-and-bylaws-reference-part-02.txt,Handbook - Governance,Constitution and Bylaws Reference,2,1173,160
9,dist/audiobook/chunks/009-handbook-governance-church-organization-chart-part-01.txt,Handbook - Governance,Church Organization Chart,1,4146,510
10,dist/audiobook/chunks/010-handbook-governance-church-organization-chart-part-02.txt,Handbook - Governance,Church Organization Chart,2,1852,250
11,dist/audiobook/chunks/011-handbook-governance-financial-operations-view-part-01.txt,Handbook - Governance,Financial Operations View,1,1679,220
12,dist/audiobook/chunks/012-handbook-governance-responsibility-matrix-part-01.txt,Handbook - Governance,Responsibility Matrix,1,502,62
13,dist/audiobook/chunks/013-handbook-governance-responsibility-matrix-part-02.txt,Handbook - Governance,Responsibility Matrix,2,4499,530
14,dist/audiobook/chunks/014-handbook-governance-responsibility-matrix-part-03.txt,Handbook - Governance,Responsibility Matrix,3,4418,534
15,dist/audiobook/chunks/015-handbook-governance-responsibility-matrix-part-04.txt,Handbook - Governance,Responsibility Matrix,4,995,124
16,dist/audiobook/chunks/016-handbook-governance-responsibility-matrix-part-05.txt,Handbook - Governance,Responsibility Matrix,5,2080,267
17,dist/audiobook/chunks/017-handbook-governance-finance-committee-charter-part-01.txt,Handbook - Governance,Finance Committee Charter,1,4091,519
18,dist/audiobook/chunks/018-handbook-governance-personnel-committee-role-part-01.txt,Handbook - Governance,Personnel Committee Role,1,1524,185
19,dist/audiobook/chunks/019-handbook-roles-treasurer-governance-role-part-01.txt,Handbook - Roles,Treasurer Governance Role,1,3582,464
20,dist/audiobook/chunks/020-handbook-roles-bookkeeper-job-description-part-01.txt,Handbook - Roles,Bookkeeper Job Description,1,4483,550
21,dist/audiobook/chunks/021-handbook-roles-bookkeeper-job-description-part-02.txt,Handbook - Roles,Bookkeeper Job Description,2,3297,422
22,dist/audiobook/chunks/022-handbook-finance-operations-spending-authority-policy-part-01.txt,Handbook - Finance Operations,Spending Authority Policy,1,4250,572
23,dist/audiobook/chunks/023-handbook-finance-operations-reimbursement-policy-part-01.txt,Handbook - Finance Operations,Reimbursement Policy,1,3265,426
24,dist/audiobook/chunks/024-handbook-finance-operations-reimbursement-process-part-01.txt,Handbook - Finance Operations,Reimbursement Process,1,4308,560
25,dist/audiobook/chunks/025-handbook-finance-operations-reimbursement-process-part-02.txt,Handbook - Finance Operations,Reimbursement Process,2,1438,178
26,dist/audiobook/chunks/026-handbook-finance-operations-credit-card-policy-part-01.txt,Handbook - Finance Operations,Credit Card Policy,1,3652,478
27,dist/audiobook/chunks/027-handbook-finance-operations-offering-counting-and-deposit-policy-part-01.txt,Handbook - Finance Operations,Offering Counting and Deposit Policy,1,2506,328
28,dist/audiobook/chunks/028-handbook-finance-operations-monthly-financial-review-policy-part-01.txt,Handbook - Finance Operations,Monthly Financial Review Policy,1,2884,360
29,dist/audiobook/chunks/029-handbook-finance-operations-monthly-finance-committee-checklist-part-01.txt,Handbook - Finance Operations,Monthly Finance Committee Checklist,1,4250,548
30,dist/audiobook/chunks/030-handbook-finance-operations-monthly-finance-committee-checklist-part-02.txt,Handbook - Finance Operations,Monthly Finance Committee Checklist,2,2084,282
31,dist/audiobook/chunks/031-handbook-finance-operations-contribution-entry-process-part-01.txt,Handbook - Finance Operations,Contribution Entry Process,1,3593,473
32,dist/audiobook/chunks/032-handbook-finance-operations-weekly-bookkeeping-checklist-part-01.txt,Handbook - Finance Operations,Weekly Bookkeeping Checklist,1,2637,349
33,dist/audiobook/chunks/033-handbook-finance-operations-monthly-close-checklist-part-01.txt,Handbook - Finance Operations,Monthly Close Checklist,1,3963,502
34,dist/audiobook/chunks/034-handbook-finance-operations-business-meeting-report-process-part-01.txt,Handbook - Finance Operations,Business Meeting Report Process,1,2510,313
35,dist/audiobook/chunks/035-handbook-finance-operations-payroll-process-part-01.txt,Handbook - Finance Operations,Payroll Process,1,3322,420
36,dist/audiobook/chunks/036-handbook-finance-operations-audit-and-review-policy-part-01.txt,Handbook - Finance Operations,Audit and Review Policy,1,874,112
37,dist/audiobook/chunks/037-current-work-2026-transition-current-work-dashboard-part-01.txt,Current Work - 2026 Transition,Current Work Dashboard,1,3288,469
38,dist/audiobook/chunks/038-current-work-2026-transition-current-work-dashboard-part-02.txt,Current Work - 2026 Transition,Current Work Dashboard,2,4293,525
39,dist/audiobook/chunks/039-current-work-2026-transition-current-work-dashboard-part-03.txt,Current Work - 2026 Transition,Current Work Dashboard,3,4480,544
40,dist/audiobook/chunks/040-current-work-2026-transition-current-work-dashboard-part-04.txt,Current Work - 2026 Transition,Current Work Dashboard,4,1582,203
41,dist/audiobook/chunks/041-current-work-2026-transition-transition-project-brief-part-01.txt,Current Work - 2026 Transition,Transition Project Brief,1,3246,436
42,dist/audiobook/chunks/042-current-work-2026-transition-transition-current-state-assessment-part-01.txt,Current Work - 2026 Transition,Transition Current-State Assessment,1,4414,575
43,dist/audiobook/chunks/043-current-work-2026-transition-transition-current-state-assessment-part-02.txt,Current Work - 2026 Transition,Transition Current-State Assessment,2,254,35
44,dist/audiobook/chunks/044-current-work-2026-transition-transition-roadmap-part-01.txt,Current Work - 2026 Transition,Transition Roadmap,1,3424,423
45,dist/audiobook/chunks/045-current-work-2026-transition-transition-roadmap-part-02.txt,Current Work - 2026 Transition,Transition Roadmap,2,3493,413
46,dist/audiobook/chunks/046-current-work-2026-transition-transition-roadmap-part-03.txt,Current Work - 2026 Transition,Transition Roadmap,3,3950,464
47,dist/audiobook/chunks/047-current-work-2026-transition-transition-roadmap-part-04.txt,Current Work - 2026 Transition,Transition Roadmap,4,1951,242
48,dist/audiobook/chunks/048-current-work-2026-transition-decision-log-part-01.txt,Current Work - 2026 Transition,Decision Log,1,3014,408
49,dist/audiobook/chunks/049-current-work-2026-transition-issue-register-part-01.txt,Current Work - 2026 Transition,Issue Register,1,4123,528
50,dist/audiobook/chunks/050-current-work-2026-transition-issue-register-part-02.txt,Current Work - 2026 Transition,Issue Register,2,1368,184
51,dist/audiobook/chunks/051-current-work-2026-transition-leadership-review-overview-part-01.txt,Current Work - 2026 Transition,Leadership Review Overview,1,1109,151
52,dist/audiobook/chunks/052-current-work-2026-transition-leadership-review-packet-part-01.txt,Current Work - 2026 Transition,Leadership Review Packet,1,3174,427
53,dist/audiobook/chunks/053-current-work-2026-transition-leadership-review-packet-part-02.txt,Current Work - 2026 Transition,Leadership Review Packet,2,4246,521
54,dist/audiobook/chunks/054-current-work-2026-transition-leadership-review-packet-part-03.txt,Current Work - 2026 Transition,Leadership Review Packet,3,4365,569
55,dist/audiobook/chunks/055-current-work-2026-transition-leadership-review-packet-part-04.txt,Current Work - 2026 Transition,Leadership Review Packet,4,1589,219
56,dist/audiobook/chunks/056-current-work-2026-transition-personnel-committee-packet-part-01.txt,Current Work - 2026 Transition,Personnel Committee Packet,1,4296,538
57,dist/audiobook/chunks/057-current-work-2026-transition-personnel-committee-packet-part-02.txt,Current Work - 2026 Transition,Personnel Committee Packet,2,4480,540
58,dist/audiobook/chunks/058-current-work-2026-transition-personnel-committee-packet-part-03.txt,Current Work - 2026 Transition,Personnel Committee Packet,3,4219,507
59,dist/audiobook/chunks/059-current-work-2026-transition-personnel-committee-packet-part-04.txt,Current Work - 2026 Transition,Personnel Committee Packet,4,4019,543
60,dist/audiobook/chunks/060-current-work-2026-transition-finance-committee-packet-part-01.txt,Current Work - 2026 Transition,Finance Committee Packet,1,4487,526
61,dist/audiobook/chunks/061-current-work-2026-transition-finance-committee-packet-part-02.txt,Current Work - 2026 Transition,Finance Committee Packet,2,4461,563
62,dist/audiobook/chunks/062-current-work-2026-transition-finance-committee-packet-part-03.txt,Current Work - 2026 Transition,Finance Committee Packet,3,4347,602
63,dist/audiobook/chunks/063-current-work-2026-transition-finance-committee-packet-part-04.txt,Current Work - 2026 Transition,Finance Committee Packet,4,3894,495
64,dist/audiobook/chunks/064-current-work-2026-transition-finance-committee-packet-part-05.txt,Current Work - 2026 Transition,Finance Committee Packet,5,1399,184
65,dist/audiobook/chunks/065-current-work-2026-transition-personnel-committee-recommendation-part-01.txt,Current Work - 2026 Transition,Personnel Committee Recommendation,1,2996,382
66,dist/audiobook/chunks/066-current-work-2026-transition-finance-committee-recommendation-part-01.txt,Current Work - 2026 Transition,Finance Committee Recommendation,1,584,72
67,dist/audiobook/chunks/067-current-work-2026-transition-deacon-update-part-01.txt,Current Work - 2026 Transition,Deacon Update,1,435,60
68,dist/audiobook/chunks/068-current-work-2026-transition-treasurer-vs-bookkeeper-duty-analysis-part-01.txt,Current Work - 2026 Transition,Treasurer vs. Bookkeeper Duty Analysis,1,4474,523
69,dist/audiobook/chunks/069-current-work-2026-transition-treasurer-vs-bookkeeper-duty-analysis-part-02.txt,Current Work - 2026 Transition,Treasurer vs. Bookkeeper Duty Analysis,2,26,4
